case,pixel,rmse,correlation
storm_2,73588383,0.11181472810729104,0.8810108705466537
storm_2,73588384,0.11546952736337687,0.8943677341098516
storm_2,73588385,0.1254553898573014,0.8932717360142849
storm_2,73588386,0.12575847924372427,0.8932923188927536
storm_2,73588387,0.11919852006014486,0.9081121772931074
storm_2,73588388,0.12118511183148874,0.8972193173703498
storm_2,73588389,0.08194983338221278,0.9548262403162947
storm_2,73593811,0.10530647472669695,0.9067335544940186
storm_2,73593812,0.10377463667639131,0.8984868687696622
drought_1,426031,0.049838152417037665,0.9573826142486582
drought_1,426032,0.049123133071767286,0.9666901167567312
drought_1,427000,0.05365961385799375,0.9348388419278247
drought_1,427001,0.05358797079473501,0.9485373752153282
drought_1,427002,0.05188005221202705,0.9590442365178471
drought_1,427003,0.050861875398193625,0.958214828210325
drought_1,427004,0.04991986814686642,0.9576819429570961
drought_1,427005,0.048039933098768334,0.962735371678434
drought_1,427006,0.05120936672798011,0.9534997554222364
drought_1,427957,0.05531853240087373,0.9324008669729201
drought_1,427958,0.05365915332678201,0.9522042137049922
drought_1,427959,0.05238904395321031,0.9591479485381601
drought_2,427961,0.049582623309018005,0.9586088763996189
drought_2,427962,0.05059259672828712,0.956115648398933
drought_2,427963,0.05418138776761835,0.9348822513566226
drought_2,428932,0.05388758601755665,0.9337096044506898
drought_2,428933,0.052851569485144204,0.9409089447192986
drought_2,428934,0.05303248832274355,0.9522742608142594
drought_2,428935,0.05485790108035414,0.9484609567913382
drought_2,428936,0.0530763241579695,0.9532200952541855
drought_2,428937,0.0613108439593671,0.9342536620721773
drought_2,428938,0.05508998779794726,0.9361949703782605
drought_2,429864,0.05348297980386977,0.9240364400562009
drought_2,429865,0.05341327878464327,0.9180980159695773
