case,pixel,rmse,correlation
non_fire_1,84468270,0.09942692859141088,0.6448104488314423
non_fire_1,84474637,0.07332862547757764,0.8657693667347354
non_fire_1,84474638,0.08555067165119767,0.7835418049557688
non_fire_1,84474639,0.09026927447294475,0.7443233925338781
non_fire_1,84474640,0.08785181524644761,0.7670261178810794
non_fire_1,84474641,0.0893730322268377,0.790879434812983
non_fire_1,84474642,0.09205654788085886,0.7817374226525741
non_fire_1,84474643,0.09334312161654516,0.6950237508546426
non_fire_1,84481033,0.07082069780911422,0.7965902606626639
non_fire_1,84481034,0.09085275668743516,0.7714353045424855
non_fire_1,84481035,0.10164069843769946,0.5744158443656506
non_fire_2,84481037,0.0780633800878254,0.7712117503929159
non_fire_2,84481038,0.0767205053961204,0.7463917241189875
non_fire_2,84481039,0.08169179649601778,0.7239494150177276
non_fire_2,84487421,0.09235724557527683,0.7622641958369712
non_fire_2,84487422,0.09878067895660686,0.6834347339731269
non_fire_2,84487423,0.08720138448583915,0.6669764196801619
non_fire_2,84487424,0.06627686013909417,0.774120226254393
non_fire_2,84487425,0.06446901812437751,0.6942019010115755
non_fire_2,84487426,0.059671001495551046,0.6216722516027078
non_fire_2,84487427,0.0737730387222675,0.6607858809152233
non_fire_2,84493820,0.09708589864940073,0.655852303516297
